Sclose  
  28.85 
  13.31 
  60.88 
  59.82 
  20.57 
  32.94 
  39.39 
  40.55 
  16.03 
   36.4 
  74.75 
  24.72 
  12.23 
  10.76 
     79 
  70.09 
  23.54 
  23.54 
  33.06 
  83.93 
  15.52 
  33.22 
  10.49 
  10.55 
  27.59 
  31.14 
  19.03 
   15.6 
  59.47 
  79.35 
  38.34 
  83.62 
  17.22 
  35.86 
  80.77 
  53.97 
  49.08 
  15.41 
  80.04 
  62.33 
  17.24 
  12.93 
  76.51 
  24.37 
  13.38 
  15.68 
  12.42 
  26.09 
  18.75 
  10.07 
  60.75 
  34.65 
  11.72 
  44.13 
  68.78 
  11.32 
  27.36 
  13.21 
  61.18 
  85.47 
  17.79 
  59.71 
   32.7 
  16.01 
  52.24 
  39.77 
  81.93 
  24.83 
  56.56 
  17.37 
  32.79 
  84.63 
  39.47 
   29.6 
  17.36 
   29.1 
  31.44 
   13.6 
  12.57 
   59.5 
  18.62 
  59.29 
   13.3 
  65.42 
  97.06 
  11.74 
  17.66 
  57.11 
   12.8 
  11.88 
  93.73 
  32.58 
  36.53 
  26.75 
  22.25 
  19.78 
  88.07 
   39.4 
  45.77 
  11.45 
  46.75 
  31.68 
  50.93 
  11.28 
  19.23 
  75.25 
   19.5 
   50.5 
   52.4 
  17.47 
  62.39 
  14.73 
  14.82 
  66.77 
  29.52 
  42.46 
  37.22 
  26.53 
  85.72 
  16.19 
  44.44 
  91.78 
  48.33 
  42.82 
  45.89 
   26.5 
  19.27 
  13.75 
  10.18 
  28.54 
  12.78 
  29.81 
  11.01 
  10.82 
  17.33 
  10.95 
  20.76 
  36.64 
  12.11 
  18.25 
  25.16 
  46.84 
   24.4 
  28.92 
  14.35 
  18.25 
  17.66 
  12.51 
   77.7 
  83.26 
  31.48 
  15.25 
  50.14 
  48.18 
  13.46 
  14.61 
  33.13 
  43.16 
  44.55 
  30.78 
  18.05 
  34.06 
  44.65 
  16.57 
  21.32 
  91.82 
  29.95 
  10.39 
  34.89 
  12.41 
  26.83 
  10.91 
  19.93 
  38.31 
   32.6 
  47.78 
  25.57 
  13.15 
  21.87 
  73.01 
   83.7 
   42.4 
  59.14 
  17.98 
  57.41 
  75.26 
  27.41 
  22.88 
  34.85 
  30.77 
   51.1 
  47.37 
  36.34 
  28.84 
  51.68 
  15.78 
  36.05 
  12.75 
  12.57 
  89.36 
  43.34 
  17.92 
  39.26 
  35.82 
  39.08 
  29.13 
   15.6 
  91.59 
  27.87 
  36.28 
  72.39 
  77.43 
  14.48 
  11.95 
  40.78 
  19.11 
   76.5 
  16.13 
  15.93 
  96.87 
  15.12 
  25.05 
  76.97 
  45.33 
  26.25 
  26.25 
  28.07 
  63.75 
  65.14 
  63.73 
  87.66 
  78.87 
  34.99 
  37.24 
  19.11 
  10.82 
  11.19 
  13.13 
  13.21 
  10.56 
  11.97 
  11.59 
  24.96 
  24.25 
   51.9 
  10.16 
  20.13 
   19.1 
  10.48 
  11.21 
  32.72 
  37.83 
  14.54 
  69.38 
   26.7 
  45.21 
  33.52 
  55.41 
  10.61 
  36.16 
   24.3 
  55.62 
  19.66 
  12.94 
  72.83 
   26.6 
  13.07 
  23.28 
   15.6 
  39.06 
  15.16 
  14.27 
  88.56 
  18.58 
  88.16 
  59.03 
  16.06 
  48.44 
   17.1 
  50.71 
  83.44 
  25.35 
  88.49 
     25 
  50.62 
  63.83 
  30.49 
  55.75 
  11.23 
  66.43 
  72.63 
  26.26 
  18.49 
   22.9 
  13.79 
  20.28 
  13.23 
  17.34 
  19.05 
  31.82 
  16.56 
     25 
   52.9 
  49.54 
  26.09 
     20 
  24.01 
  10.35 
  20.75 
  14.85 
   19.9 
  35.49 
  41.05 
  10.44 
  25.02 
  16.79 
  74.82 
   84.3 
  23.43 
  12.69 
  66.28 
  20.43 
  64.69 
  10.25 
  10.35 
  25.85 
  42.71 
  13.91 
  15.81 
  29.96 
  21.58 
