Fpettm 
 30.34 
  3.43 
 33.64 
 10.33 
 29.31 
 24.49 
 14.58 
  31.3 
  9.16 
  5.22 
 11.39 
  9.32 
 34.72 
 12.84 
 17.35 
 13.48 
 24.09 
 10.95 
 37.37 
 26.68 
 16.17 
 27.83 
  7.27 
  6.63 
 28.31 
 33.79 
 11.18 
 24.24 
 10.58 
 31.95 
 29.92 
 25.49 
  5.47 
 18.92 
 26.79 
 22.11 
  9.84 
 14.82 
 20.84 
  7.89 
  7.26 
 11.34 
 10.26 
  8.06 
 19.85 
  8.29 
 30.29 
 11.89 
 12.08 
  23.1 
 13.63 
 16.78 
 16.65 
  7.77 
  9.33 
 32.38 
  23.6 
 15.87 
 17.74 
  21.5 
 34.15 
  9.38 
  5.53 
 16.64 
 30.47 
 16.41 
 27.32 
 10.15 
 32.09 
 18.06 
  7.82 
 21.68 
 10.06 
  8.82 
 21.71 
  9.76 
 16.54 
  6.05 
 18.24 
  1.25 
 13.36 
  28.4 
 31.63 
  5.18 
 17.57 
 37.28 
 19.11 
  9.85 
 11.81 
 12.47 
 15.77 
 26.01 
  0.68 
  4.22 
     5 
 15.02 
 34.18 
  9.76 
 11.38 
  6.38 
 23.82 
 33.96 
 25.07 
 19.75 
 26.12 
 36.69 
   8.7 
 12.75 
 30.86 
 27.92 
 23.13 
  10.3 
 31.05 
  6.21 
 13.65 
 11.75 
  3.49 
 12.89 
  9.77 
  9.76 
 33.55 
 13.27 
 31.82 
 21.09 
   0.8 
  3.69 
 17.62 
 28.83 
  7.77 
 27.08 
  6.44 
  6.98 
  2.69 
  6.68 
 16.36 
 19.27 
  7.99 
  7.44 
  8.87 
 31.08 
 24.35 
 19.71 
 21.84 
  8.03 
  6.86 
 10.31 
  19.8 
 33.31 
 30.01 
 11.84 
 33.51 
 10.81 
 24.16 
 18.08 
 20.64 
 31.02 
 26.22 
 37.26 
 24.91 
 33.96 
  5.78 
 34.71 
 26.05 
 15.77 
 28.88 
 26.49 
  8.41 
 21.57 
 16.66 
  4.58 
  14.5 
 26.87 
 13.81 
 19.67 
 17.61 
 29.54 
  8.29 
 20.59 
  9.04 
 13.32 
  7.51 
  8.92 
  8.12 
  0.88 
 14.03 
 10.72 
 13.84 
  8.34 
 12.01 
 12.48 
  10.1 
 10.13 
  4.96 
  6.87 
 21.92 
  7.58 
 32.01 
  9.16 
  7.49 
 14.29 
  8.94 
 15.15 
  7.82 
 16.41 
  6.97 
 12.01 
 15.31 
  3.38 
  9.69 
 22.71 
  7.46 
  8.69 
 12.86 
 19.54 
  9.18 
  7.14 
  7.17 
 12.07 
  5.33 
   2.4 
  7.92 
 13.04 
  8.83 
 14.01 
 19.11 
 18.11 
 36.08 
 13.14 
  7.01 
 14.98 
 28.05 
 31.44 
  7.11 
 14.01 
  9.58 
 20.36 
 10.51 
  9.83 
  6.41 
 11.35 
 25.95 
 11.84 
  7.61 
  15.7 
 18.04 
 10.28 
  8.21 
 10.06 
  8.77 
 15.18 
 15.63 
  4.73 
  7.19 
  3.01 
 34.93 
 15.88 
  2.19 
  9.45 
  9.25 
  8.31 
 30.75 
 28.15 
 36.98 
 19.57 
  2.38 
 17.05 
  7.45 
    12 
 11.41 
  6.88 
  7.94 
  9.01 
    23 
  6.46 
  2.61 
  17.1 
  7.55 
 12.38 
 36.76 
  8.19 
   9.7 
 10.14 
  6.57 
   5.5 
 14.73 
 30.66 
  5.61 
 14.74 
  6.41 
 15.67 
  7.98 
  9.56 
  4.33 
  6.77 
 13.25 
 32.69 
  8.01 
 19.57 
 19.29 
  9.85 
 38.02 
 20.38 
 22.75 
  6.61 
  6.78 
  3.05 
 33.84 
 13.47 
  3.84 
  6.38 
 12.25 
 21.61 
 10.37 
  9.15 
 16.41 
 23.41 
  7.07 
 15.11 
  8.36 
   7.5 
 24.51 
 29.37 
 16.41 
 12.19 
 13.15 
 15.26 
 23.37 
 19.29 
 11.77 
  9.82 
 15.85 
 32.14 
 25.04 
 22.59 
  6.36 
