Fid  | Fcalorie          | Fcarb             | Fprotein          | Ffat              | Fsodium           | Ffiber             
3089 |               238 |             38.06 |              5.64 |              6.87 |             328.1 |               2.04 
3090 |             200.6 |             40.07 |              5.95 |               1.7 |             285.6 |               2.21 
3091 |            454.58 |             89.39 |             12.79 |              5.06 |              4.76 |               4.17 
3092 |             200.6 |             40.07 |              5.95 |               1.7 |             285.6 |               2.21 
3093 |               756 |             145.7 |             22.04 |              8.44 |                10 |                 17 
3094 |            131.88 |             17.82 |              3.05 |              5.95 |            242.48 |               1.88 
3095 |             219.2 |             40.02 |              7.22 |               3.3 |             377.6 |               1.92 
3096 |            145.92 |             27.08 |              5.38 |              1.69 |              7.98 |               1.25 
3097 |            145.92 |             27.08 |              5.38 |              1.69 |              7.98 |               1.25 
3098 |            145.16 |             26.72 |              5.55 |              1.73 |             27.36 |               2.58 
3099 |            234.45 |             23.36 |              4.65 |             14.27 |             170.1 |               0.85 
3100 |            191.52 |             42.53 |               8.2 |               0.4 |            451.44 |                  0 
3101 |            202.92 |             42.24 |              6.47 |              0.46 |            1048.8 |               2.45 
3102 |             209.6 |             38.56 |              8.02 |               2.5 |             388.8 |               3.68 
3103 |             236.8 |             47.86 |              9.54 |              2.72 |             337.6 |               6.24 
3104 |            231.24 |             62.25 |             16.26 |              6.61 |              3.76 |              14.48 
3105 |            420.16 |             68.33 |             15.25 |              9.48 |             19.76 |               6.76 
3106 |             219.8 |             42.95 |              8.06 |              1.29 |             324.8 |               2.52 
3107 |            194.68 |             37.93 |              7.19 |              1.15 |            162.44 |               2.23 
3108 |            195.92 |             38.27 |              7.19 |              1.15 |              1.24 |               2.23 
3109 |            194.68 |             37.93 |              7.19 |              1.15 |            162.44 |               2.23 
3110 |            337.61 |             67.95 |             11.87 |              1.37 |              5.46 |               2.91 
3111 |            337.61 |             67.95 |             11.87 |              1.37 |              5.46 |               2.91 
3112 |            167.68 |             31.91 |              6.59 |              1.34 |              7.68 |                  0 
3113 |              74.1 |             14.27 |              2.88 |              0.54 |              3.42 |                  0 
3114 |            374.85 |             83.22 |              7.83 |              2.18 |              3.15 |              11.55 
3115 |              74.1 |             13.42 |              3.01 |              0.99 |             47.31 |                  0 
3116 |             70.68 |             14.32 |              2.49 |              0.56 |             42.18 |                  0 
3117 |             179.2 |             37.17 |              6.33 |              0.15 |             138.6 |               6.02 
3118 |             207.2 |             41.85 |              8.33 |              2.38 |               329 |               5.46 
3119 |            320.32 |             66.77 |             12.62 |              2.67 |              5.46 |               8.37 
3120 |               222 |             39.41 |              8.14 |              3.55 |             12.95 |               5.18 
3121 |               238 |             34.37 |              7.11 |              8.06 |             317.9 |               4.59 
3122 |               204 |             36.06 |              7.45 |              3.25 |             277.1 |               4.76 
3123 |               238 |             34.37 |              7.11 |              8.06 |             317.9 |               4.59 
3124 |             625.6 |            109.07 |                24 |             10.32 |               8.5 |               11.9 
3125 |            372.88 |             58.63 |             15.75 |              24.6 |               5.9 |              24.78 
3126 |            678.95 |            141.06 |             13.95 |              5.92 |              9.25 |               6.66 
3127 |             687.8 |            144.72 |             14.25 |              5.09 |               7.6 |               6.46 
3128 |            227.85 |             48.56 |              4.79 |              1.32 |               6.2 |               2.63 
3129 |             177.6 |             37.77 |              3.65 |              1.32 |              2.88 |               1.68 
3130 |            203.82 |             44.22 |              4.22 |              0.44 |             387.1 |               0.63 
3131 |               286 |             50.06 |             10.12 |              4.42 |               726 |                0.6 
3132 |            573.54 |            120.84 |             11.42 |              4.39 |             12.64 |               7.27 
3133 |            578.28 |            126.61 |               9.4 |              2.24 |                 0 |               3.79 
3134 |            190.08 |             42.26 |              3.15 |              0.35 |             33.44 |               1.76 
3135 |            207.48 |              45.7 |              3.39 |              0.32 |            103.74 |               0.91 
3136 |               245 |             54.77 |              4.41 |              0.46 |            600.25 |                0.7 
3137 |            167.04 |             36.49 |               3.5 |              0.33 |            394.98 |               1.74 
3138 |            168.78 |              36.7 |              3.51 |              0.33 |               8.7 |               1.74 
3139 |             684.5 |            151.11 |              12.6 |              1.02 |             12.95 |               5.18 
3140 |               702 |            154.71 |             12.89 |              1.13 |              1.95 |               2.73 
3141 |               702 |            154.71 |             12.89 |              1.13 |              1.95 |                  0 
3142 |             266.5 |              58.9 |              4.84 |              0.39 |                 0 |                  0 
3143 |             241.8 |             53.44 |              4.39 |              0.35 |                 0 |                  0 
3144 |               716 |             158.3 |                13 |              1.04 |                 2 |                5.6 
3145 |               716 |             158.3 |                13 |              1.04 |                 2 |                  0 
3146 |            199.32 |             44.72 |              4.22 |              0.36 |               6.6 |               1.19 
3147 |            154.56 |              33.5 |              5.68 |              1.04 |              6.72 |               4.54 
3148 |               416 |             87.85 |             20.36 |              2.84 |              2.56 |              30.46 
3149 |            364.14 |             78.21 |             10.02 |              1.36 |              2.04 |               8.16 
3150 |            355.98 |             76.94 |              11.1 |              1.55 |              2.04 |              12.04 
3151 |            571.22 |             128.2 |             17.47 |              2.75 |              3.38 |              25.52 
3152 |             601.2 |            121.63 |             21.18 |              1.75 |              1.67 |               6.51 
3153 |             601.2 |            121.63 |             21.18 |              1.75 |              1.67 |               6.51 
3154 |            574.77 |            123.73 |             15.34 |                 2 |              1.61 |               3.06 
3155 |            631.68 |            138.41 |             20.39 |              6.64 |              3.84 |              12.86 
3156 |               182 |             36.61 |              6.41 |              0.88 |              19.6 |                  0 
3157 |            212.04 |             42.64 |              7.61 |              0.89 |             20.52 |               6.04 
3158 |            588.12 |            122.13 |             25.35 |              4.23 |             13.92 |              18.62 
3159 |             211.2 |              38.8 |              8.06 |              2.51 |              19.2 |               3.68 
3160 |            544.16 |            134.81 |              0.29 |              0.03 |              1.52 |               1.37 
3161 |            708.31 |            141.14 |             25.67 |              4.59 |             23.16 |              15.44 
3162 |            645.12 |            138.49 |             25.06 |              4.01 |               9.6 |                  0 
3163 |             439.4 |             95.08 |             17.13 |              2.35 |               2.6 |              18.98 
3164 |            606.84 |            103.38 |             26.35 |             10.76 |              3.12 |              16.54 
3165 |            441.64 |             93.81 |              9.91 |              4.38 |              42.7 |               8.91 
3166 |            441.64 |             93.81 |              9.91 |              4.38 |              42.7 |               8.91 
3167 |             176.4 |             43.99 |              0.06 |              0.06 |               4.2 |                2.1 
3168 |            125.28 |             37.42 |              9.02 |              2.46 |              1.16 |              24.82 
3169 |            650.88 |            136.57 |             26.27 |              4.74 |              3.84 |                  0 
